,Provincias,Ramas de actividad,periodo,Total
178,05 Ávila,F. Construcción,2020,264.628
179,05 Ávila,F. Construcción,2019,272.458
180,05 Ávila,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,645.518
181,05 Ávila,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,556.041
182,05 Ávila,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,732.257
183,05 Ávila,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,678.479
184,05 Ávila,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,651.021
185,05 Ávila,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,660.029
186,05 Ávila,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,929.338
187,05 Ávila,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,929.911
188,05 Ávila,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,961.361
189,05 Ávila,Valor añadido bruto total,2021,2.985.737
190,05 Ávila,Valor añadido bruto total,2020,2.807.189
191,05 Ávila,Valor añadido bruto total,2019,3.012.341
192,05 Ávila,Impuestos netos sobre los productos,2021,314.373
193,05 Ávila,Impuestos netos sobre los productos,2020,269.215
194,05 Ávila,Impuestos netos sobre los productos,2019,309.053
195,05 Ávila,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,3.300.110
196,05 Ávila,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,3.076.404
197,05 Ávila,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,3.321.394
198,06 Badajoz,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,12.723.211
199,06 Badajoz,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,11.638.254
200,06 Badajoz,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,12.490.571
201,06 Badajoz,"A. Agricultura, ganadería, silvicultura y pesca",2021,1.114.803
202,06 Badajoz,"A. Agricultura, ganadería, silvicultura y pesca",2020,828.169
203,06 Badajoz,"A. Agricultura, ganadería, silvicultura y pesca",2019,957.944
204,06 Badajoz,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,1.424.693
205,06 Badajoz,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,1.284.940
206,06 Badajoz,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,1.331.190
207,06 Badajoz,C. - De las cuales: Industria manufacturera,2021,989.504
208,06 Badajoz,C. - De las cuales: Industria manufacturera,2020,880.772
209,06 Badajoz,C. - De las cuales: Industria manufacturera,2019,894.518
210,06 Badajoz,F. Construcción,2021,712.482
211,06 Badajoz,F. Construcción,2020,656.761
212,06 Badajoz,F. Construcción,2019,766.514
213,06 Badajoz,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,2.239.124
214,06 Badajoz,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,1.925.604
215,06 Badajoz,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,2.274.580
216,06 Badajoz,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,2.390.063
217,06 Badajoz,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,2.284.369
218,06 Badajoz,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,2.278.521
219,06 Badajoz,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,3.630.016
220,06 Badajoz,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,3.639.953
221,06 Badajoz,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,3.719.584
222,06 Badajoz,Valor añadido bruto total,2021,11.511.181
223,06 Badajoz,Valor añadido bruto total,2020,10.619.796
224,06 Badajoz,Valor añadido bruto total,2019,11.328.333
225,06 Badajoz,Impuestos netos sobre los productos,2021,1.212.030
226,06 Badajoz,Impuestos netos sobre los productos,2020,1.018.458
227,06 Badajoz,Impuestos netos sobre los productos,2019,1.162.238
228,06 Badajoz,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,12.723.211
229,06 Badajoz,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,11.638.254
230,06 Badajoz,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,12.490.571
231,"07 Balears, Illes",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,30.031.668
232,"07 Balears, Illes",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,26.198.090
233,"07 Balears, Illes",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,33.935.302
234,"07 Balears, Illes","A. Agricultura, ganadería, silvicultura y pesca",2021,154.128
235,"07 Balears, Illes","A. Agricultura, ganadería, silvicultura y pesca",2020,148.537
236,"07 Balears, Illes","A. Agricultura, ganadería, silvicultura y pesca",2019,181.850
237,"07 Balears, Illes","B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,1.806.386
